_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number
71,56,2073,shintaro,90068.0,1900 n highland ave ste 5,3238826524.0,shintaro japanese restaurant,90068.0,1900 n highland ave,3238826524.0
72,58,2302,vegan house in hollywood,,1717 n. wilcox ave.,3239626195.0,vegan house,90028.0,1717 wilcox ave,3239626195.0
73,59,1999,kanpai sushi bar and grill,90045.0,8325 lincoln blvd,3103387223.0,kanpai japanese sushi bar & grill,90045.0,8325 lincoln blvd,3103387223.0
74,60,1833,au lac dtla,90012.0,710 w 1st st,2136172533.0,au lac,90012.0,710 w 1st st,2136172533.0
75,63,2151,kino sushi,,"6721 hollywood blvd, los angeles, ca",3234654567.0,kino sushi,90028.0,6721 hollywood blvd,3234654567.0
76,65,1664,the district by hannah an,90048.0,8722 w 3rd st,3102782345.0,the district by hannah an,90048.0,8722 w 3rd st,3102782345.0
77,66,1177,sugarfish by sushi nozawa,90049.0,11640 san vicente blvd,3108204477.0,sugarfish by sushi nozawa,90049.0,11640 san vicente blvd,3108204477.0
78,67,2143,cho oishi,90028.0,6801 hollywood blvd,3234640500.0,cho oishi,90028.0,6801 hollywood blvd,3234640500.0
79,70,2025,bulan thai vegetarian restaurant,90046.0,7168 melrose ave.,3238571882.0,bulan thai vegetarian kitchen,90046.0,7168 melrose ave,3238571882.0
80,73,1341,road to seoul,90006.0,1230 s western ave,3237319292.0,road to seoul,90006.0,1230 s western ave,3237319292.0
81,74,1646,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0,hama sushi,90012.0,347 e 2nd st,2136803454.0
82,74,1762,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0,sushi gen,90012.0,422 e 2nd st,2136170552.0
83,74,2210,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0,zencu sushi & grill,90012.0,319 e 2nd st,2136877780.0
84,74,2386,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0
85,74,3383,kula revolving sushi bar,90012.0,333 e 2nd st,2132909631.0,tapas and wine bar c,90012.0,428 e 2nd st,2136288877.0
86,75,1604,hoy-ka thai noodle house,90028.0,5908 w sunset blvd,3234632979.0,luv2eat thai bistro,90028.0,6660 w sunset blvd,3234985835.0
87,75,1816,hoy-ka thai noodle house,90028.0,5908 w sunset blvd,3234632979.0,hoy-ka thai noodles,90028.0,5908 sunset blvd,3236883558.0
88,75,2182,hoy-ka thai noodle house,90028.0,5908 w sunset blvd,3234632979.0,pa ord noodle,90028.0,7075 w sunset blvd,3234642989.0
89,75,2211,hoy-ka thai noodle house,90028.0,5908 w sunset blvd,3234632979.0,noodle world jr.,90028.0,6118 w sunset blvd,3239600999.0
90,76,1852,robata jinya,90048.0,8050 w 3rd st,3236538877.0,robata jinya,90048.0,8050 west 3rd st,3236538877.0
91,77,2028,araya's place,90048.0,8101 1/2 beverly blvd,3239000557.0,araya's place - thai vegan restaurant,90048.0,8101 beverly blvd,3239000557.0
92,78,1858,oo kook korean bbq,90005.0,3385 w 8th st,2133855665.0,oo-kook korean bbq,90005.0,3385 w 8th st,2133855665.0
93,78,2103,oo kook korean bbq,90005.0,3385 w 8th st,2133855665.0,keungama korean restaurant,90005.0,3498 w 8th st,2133656788.0
94,78,2159,oo kook korean bbq,90005.0,3385 w 8th st,2133855665.0,magal bbq,90005.0,3460 w 8th st,2133831909.0
